,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gübre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,335,381,434,459,464,471,475,420,477,428,459,482,581,675,826,973,"1,123","1,153","1,000",411,442,380,380,402,830,748,360,500,487,511,498,506,508,511,195,111,134,136,258,222,229,248,300,358,397,445,546,631,662,771,659
Çimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,037","1,209","1,257","1,475","1,778","1,972","2,134","1,972","2,002","2,286","2,358","2,168","2,596","2,837","3,118","3,380","3,586","3,795","3,992","4,256","4,733","4,900","4,267","2,883","2,718","4,550","2,817","2,483","3,998","3,223","3,285","3,439","3,878","4,323","4,595","5,475","6,350","6,537","7,268","7,152","7,321","7,384","7,314","7,989","8,875","8,500","8,625","7,575","9,055","9,823","10,439","10,901"
Demirçelik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,836,900,"1,023","1,229","1,312","1,478","1,647","1,824","1,810","2,021","2,229","2,574","2,831","2,325","3,849","3,825","3,834","4,839","4,997","5,982","6,734","6,524","6,955","7,964","8,663","8,703","7,735","8,395",8235,"8,074","9,582","10,940","11,661","13,398","15,477","16,015","16,000","16,575","20,051","20,481","20,233","20,684","20,691","22,644","25,509","25,502","24,250","25,214","28,808","26,885","27,155"
Demirdışı Metaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,233,379,659,"1,050","1,664","1,392","1,359","1,519","1,744","1,711","1,574","1,936","1,935","3,007","2,310","2,376","2,584","2,553","2,424","2,631","2,673","2,100","2,162","1,957",2055,2153,2251,2349,2447,"2,544","3,081","2,697","2,485","2,785","3,036","2,472","1,924","2,307","2,479","2,406","2,277","2,417","2,974","3,140","3,753","3,590","3,807","4,466","5,305","5,028","4,745"
Motorlu Kara Taşıt Sanayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,437","1,442","1,410","1,799","2,320","1,838","2,185","2,195","2,309","2,208","2,506","2,954","3,433"
Diğer Sanayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,826","3,570","3,621","4,189","4,638","4,843","5,041","5,166","5,200","5,752","6,105","6,644","7,652","8,239","8,204","9,041","9,531","10,845","11,103","10,754","12,358","12,494","14,759","19,223","20,338","21,285","25,130","27,898","27,412","41,655","28,777","31,744","36,290","34,831","41,775","44,924","41,659","38,682","43,981","22,011","24,271","24,218","25,790","34,631","28,639","37,362","30,013","37,143","28,962","33,248","29,077","27,645"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulaştırma,3,3,3,4,4,5,5,5,6,6,7,7,9,9,11,11,12,18,17,16,16,16,16,16,17,17,18,18,18,17,17,17,20,34,36,39,41,39,41,44,52,54,54,55,58,61,75,80,83,108,117,123,153,174,151,159,153,149,155,186,201,184,213,242,300,354,360,345,395,438,478,490,490,539,604,651,664,720,820,830,890,731,749,790,936,545,556,590,657,799,826,917,"1,063","1,156","1,292","1,191","1,578","1,436","1,571","1,790","1,734"
Demiryolları,3,3,3,4,4,5,5,5,6,6,7,7,9,9,11,11,12,18,17,16,16,16,16,16,17,17,18,18,18,17,17,17,20,34,36,39,41,39,41,44,52,54,54,55,58,61,75,80,83,108,117,123,153,174,151,159,153,149,155,186,201,184,213,242,300,354,360,345,395,438,478,490,490,539,604,651,664,720,820,830,890,731,749,790,936,336,347,201,448,598,661,740,803,883,984,"1,024","1,288","1,151","1,298","1,523","1,567"
Boru Hatları,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,209,389,209,201,165,177,260,273,309,167,290,284,273,266,166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diğer Sektörler,5,5,6,8,9,12,13,15,16,19,22,26,33,35,45,50,58,65,67,65,68,73,77,89,106,121,137,152,175,205,244,290,335,369,425,477,536,606,684,769,857,927,"1,103","1,204","1,377","1,537","1,747","2,538","2,861","3,227","3,328","3,657","4,594","5,400","5,835","6,369","6,972","7,241","7,669","8,203","8,688","9,425","9,887","11,082","12,524","14,109","15,157","17,263","20,376","22,011","24,512","26,773","28,897","32,980","37,790","40,915","44,058","48,734","49,261","51,826","55,777","61,532","69,946","74,254","79,372","86,552","85,868","92,130","97,462","101,823","103,967","108,681","112,716","121,750","131,248","139,330","140,020","141,239","147,731","151,449","157,367"
"Konut, Ticarethane ve Hizmetler",5,5,6,8,9,12,13,15,16,19,22,26,33,35,45,50,58,65,67,65,68,73,77,89,106,121,137,152,175,205,244,290,335,369,425,477,536,606,684,769,857,927,1103,1204,1377,1537,1747,2502,2820,"3,180","3,274","3,600","4,519","5,295","5,706","6,238","6,823","7,081","7,500","8,015","8,464","9,165","9,576","10,756","12,126","13,684","14,693","16,688","19,664","21,152","23,523","25,579","27,384","31,155","35,777","38,567","41,433","45,664","46,058","48,336","52,120","57,637","65,833","69,813","74,391","80,745","80,989","86,544","92,315","95,973","99,053","103,520","107,835","114,945","124,450","130,051","139,449","129,689","133,959","138,021","144,065"
Tarım ve Hayvancılık,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,47,54,57,75,105,129,131,149,160,169,188,224,260,311,326,398,425,464,575,712,859,989,"1,194","1,513","1,825","2,012","2,348","2,624","3,070","3,203","3,490","3,657","3,895","4,113","4,441","4,981","5,806","4,879","5,586","5,147","5,850","4,915","5,161","4,881","6,805","6,798","9,278","9,571","11,550","13,772","13,428","13,302"
